date,quint,mean_kg,mean_price,product,quintile_label
2025-09-01,1,6.735769155415172,140022.79853223093,rice,Poorest
2025-09-01,2,5.720151893141777,141705.9254455284,rice,2
2025-09-01,3,4.818278856021406,117161.48756068504,rice,3
2025-09-01,4,6.990442861731783,180725.8289494713,rice,4
2025-09-01,5,7.27949996814376,223969.74589373157,rice,Richest
2025-10-01,1,5.74587778877657,142908.33918001215,rice,Poorest
2025-10-01,2,5.5633005518545975,174912.0557643111,rice,2
2025-10-01,3,4.7628502637631724,116517.6382968531,rice,3
2025-10-01,4,6.3327684380973706,171764.20712720446,rice,4
2025-10-01,5,8.109159241135858,221060.25587705395,rice,Richest
2024-03-01,1,NA,NA,chicken,Poorest
2024-03-01,2,NA,NA,chicken,2
2024-03-01,3,NA,NA,chicken,3
2024-03-01,4,NA,NA,chicken,4
2024-03-01,5,NA,NA,chicken,Richest
