mofd_label,region,totfoodinsec,weighted_count,percentage
2024m12,Maluku,2,772036.3701171875,22.45109487340047
2024m12,Maluku,3,238957.46484375,6.948968884846652
2024m12,Maluku,4,21108.87451171875,0.6138536507824971
2024m12,Maluku,5,107713.8623046875,3.13235779477055
2024m12,Maluku,7,33915.84765625,0.9862850286790058
2024m12,Maluku,8,799466.17529296875,23.248763457675693
2024m12,Nusa Tenggara,0,8888745.5244140625,55.510152627127894
2024m12,Nusa Tenggara,1,3105154.916748047,19.391670386572688
2024m12,Nusa Tenggara,2,503688.91796875,3.1455337129680396
2024m12,Nusa Tenggara,3,164536.265625,1.027527809459195
2024m12,Nusa Tenggara,4,257753.9033203125,1.6096712943631808
2024m12,Nusa Tenggara,5,459742.892578125,2.871091096730577
2024m12,Nusa Tenggara,6,1179490.7158203125,7.3659111375878705
2024m12,Nusa Tenggara,7,656638.29296875,4.100701472822824
2024m12,Nusa Tenggara,8,797077.0419921875,4.9777404623677315
2024m12,Papua,0,3190995.8793945313,68.68220306367928
2024m12,Papua,1,701289.10595703125,15.094372604086875
2024m12,Papua,2,118478.49267578125,2.5501016611092124
2024m12,Papua,3,327135.15625,7.0411758836536515
2024m12,Papua,4,158328.9033203125,3.407832005962566
2024m12,Papua,7,41625.75439453125,0.895942402954936
2024m12,Papua,8,108176.88330078125,2.3283723785534787
2024m12,Sulawesi,0,18099923.29272461,73.50386158837819
2024m12,Sulawesi,1,2008769.9678955078,8.15762295205042
2024m12,Sulawesi,2,2291422.7724609375,9.305477132885283
2024m12,Sulawesi,3,567813.39892578125,2.3058925061546236
2024m12,Sulawesi,4,315185.7021484375,1.2799704093037139
2024m12,Sulawesi,5,401140.26025390625,1.629032216897901
2024m12,Sulawesi,6,230383.6171875,0.9355887998037361
2024m12,Sulawesi,7,544213.8029785156,2.210054451705701
2024m12,Sulawesi,8,165599.42724609375,0.672499942820436
2024m12,Sumatra,0,38250983.72558594,60.81510328947002
2024m12,Sumatra,1,6107319.385253906,9.710005418437364
2024m12,Sumatra,2,2083229.62109375,3.312119382115556
2024m12,Sumatra,3,3523456.8828125,5.601931594792046
2024m12,Sumatra,4,4439366.560058594,7.058133140486884
2024m12,Sumatra,5,3838673.4326171875,6.1030932687622705
2024m12,Sumatra,6,3075765.1953125,4.890148169495771
2024m12,Sumatra,7,922912.75146484375,1.467335708544413
2024m12,Sumatra,8,655470.3779296875,1.0421300278956753
2025m01,Java,0,105863643.34667969,65.04009729061781
2025m01,Java,1,21853194.87451172,13.4260816633197
2025m01,Java,2,9436107.115234375,5.797319130702142
2025m01,Java,3,6409182.8994140625,3.9376490941857316
2025m01,Java,4,3895952.341796875,2.3935801880563794
2025m01,Java,5,6364441.103515625,3.910160802018592
2025m01,Java,6,3960940.146484375,2.4335071450923924
2025m01,Java,7,1977592.11328125,1.2149854225946128
2025m01,Java,8,3005681.8984375,1.846619263412638
2025m01,Kalimantan,0,11139880.09741211,64.09344064791642
2025m01,Kalimantan,1,3336550.6231689453,19.196886094359918
2025m01,Kalimantan,2,1823580.7109375,10.49199462122667
2025m01,Kalimantan,3,645033.892578125,3.7112106367693096
2025m01,Kalimantan,4,126384.58984375,0.7271553317565285
2025m01,Kalimantan,5,242942.560546875,1.397773086344193
2025m01,Kalimantan,8,66314.19921875,0.381539581626955
2025m01,Maluku,0,1934032.8989257813,58.961602565088086
2025m01,Maluku,1,84747.666015625,2.583646950735691
2025m01,Maluku,2,34865.42578125,1.0629195497752115
2025m01,Maluku,3,174508.08984375,5.320114587231085
2025m01,Maluku,4,339041.6806640625,10.336143112879435
2025m01,Maluku,5,115739.001953125,3.528459644213109
2025m01,Maluku,6,406994.37890625,12.407772809151203
2025m01,Maluku,7,80148.291015625,2.443428797803325
2025m01,Maluku,8,110079.16845703125,3.3559119831228523
2025m01,Nusa Tenggara,0,8623945.12890625,54.341441326925214
2025m01,Nusa Tenggara,1,1473435.9252929688,9.284455163671304
2025m01,Nusa Tenggara,2,715861.080078125,4.510803617117682
2025m01,Nusa Tenggara,3,1449943.6181640625,9.136424788895313
2025m01,Nusa Tenggara,4,297895.892578125,1.877109829213313
2025m01,Nusa Tenggara,5,1322443.857421875,8.333019773672621
2025m01,Nusa Tenggara,6,606452.6591796875,3.8213962523843668
2025m01,Nusa Tenggara,7,476830.916015625,3.0046201428943218
2025m01,Nusa Tenggara,8,903114.3515625,5.6907291052258735
2025m01,Papua,0,3610158.075012207,77.82874749112393
2025m01,Papua,1,189625.91430664063,4.088005870018624
2025m01,Papua,2,29627.871826171875,0.638725536983784
2025m01,Papua,3,212548.330078125,4.582173402823786
