date,source_label,weighted_count,n_households,percentage
2024-09-01,Unprotected spring,407878.21875,1,3.3582237379254107
2024-09-01,Unprotected well,604699.765625,2,4.978733881557159
2024-10-01,Bottled water (new),320277.6796875,3,3.755429766121658
2024-10-01,Bottled water (refill),3621070.0693359375,16,42.45901349374343
2024-10-01,Other,620261.96875,2,7.272908503988651
2024-10-01,Piped into dwelling,79006.0390625,2,0.9263887233358861
2024-10-01,Piped into yard/plot,528686.109375,2,6.199131809682005
2024-10-01,Protected spring,308127.3515625,2,3.6129605689134987
2024-10-01,Protected well,2011053.0703125,5,23.580689634291343
2024-10-01,Rainwater collection,15239.2822265625,1,0.17868886193943273
2024-10-01,Surface water,87439.84375,2,1.0252796644592177
2024-10-01,Tanker-truck,232538.279296875,3,2.7266376373347976
2024-10-01,Tubewell/borehole,311557.580078125,2,3.6531818615266674
2024-10-01,Unprotected spring,83947.578125,1,0.9843309530406609
2024-10-01,Unprotected well,309184.697265625,3,3.625358521622757
2024-11-01,Bottled water (new),1273908.52734375,5,13.65760904667685
2024-11-01,Bottled water (refill),2555588.443359375,13,27.39853536924285
2024-11-01,Cart with small tank/drum,196900.84375,1,2.110979467658949
2024-11-01,Piped into dwelling,18140.322265625,1,0.1944829037303241
2024-11-01,Piped into yard/plot,653997.2890625,3,7.011523276499681
2024-11-01,Protected spring,77863.390625,2,0.8347755944630546
2024-11-01,Protected well,2383248.11328125,8,25.55086985742613
2024-11-01,Public tap/standpipe,274271.712890625,2,2.940474725475927
2024-11-01,Rainwater collection,50836.078125,1,0.5450150192064945
2024-11-01,Surface water,370896.25,3,3.9763890975286915
2024-11-01,Tanker-truck,323825.634765625,4,3.471743711569851
2024-11-01,Tubewell/borehole,969674.92578125,3,10.39591207250951
2024-11-01,Unprotected well,178312.177734375,5,1.9116898580116868
2024-12-01,Bottled water (new),1068054.171875,7,25.506478841459334
2024-12-01,Bottled water (refill),372489.3046875,2,8.8955137472124
2024-12-01,Cart with small tank/drum,167908.5625,1,4.009867953783281
2024-12-01,Piped into yard/plot,284593.75,1,6.79645719658883
2024-12-01,Protected spring,154331.03125,1,3.685619406596379
2024-12-01,Protected well,781779.587890625,4,18.669881212308734
2024-12-01,Rainwater collection,167746.75,3,4.006003667480004
2024-12-01,Tanker-truck,62721.26953125,1,1.4978629140128756
2024-12-01,Tubewell/borehole,655723.5234375,3,15.659503625217988
2024-12-01,Unprotected spring,90069.9140625,1,2.1509829911100145
2024-12-01,Unprotected well,381965.9697265625,4,9.12182844423016
2025-01-01,Bottled water (refill),1236132.734375,7,50.66051403903299
2025-01-01,Protected spring,106809.8984375,2,4.377397514706647
2025-01-01,Protected well,417290.67578125,2,17.101852860050855
2025-01-01,Rainwater collection,93544.69140625,2,3.833748610062843
2025-01-01,Surface water,147603.24267578125,2,6.0492339858340385
2025-01-01,Unprotected spring,438650.71875,3,17.97725299031262
2025-02-01,Bottled water (new),45444.296875,1,1.7370482504639166
2025-02-01,Bottled water (refill),1183518.68359375,10,45.23843914633966
2025-02-01,Piped into dwelling,56667.2265625,1,2.166029920757422
2025-02-01,Protected spring,96287.662109375,2,3.680468760874642
2025-02-01,Protected well,499361.53515625,6,19.08743540202787
2025-02-01,Rainwater collection,168758.2578125,3,6.450561602721281
2025-02-01,Surface water,25207.37109375,1,0.963518480165574
2025-02-01,Unprotected spring,75588.0625,1,2.889253894338797
