date,quint,sv28,n,percent,quintile_label,inflation_perception
2024-08-01,4,1,22846286.533203125,0.4117723114653746,4,1. Faster than expected
2024-08-01,4,2,29781895.916992188,0.536776955140539,4,2. At a typical pace
2024-08-01,4,3,2854631.466796875,0.05145073339408646,4,3. Slower than expected
2024-08-01,5,1,17721046.938964844,0.3215626785224125,Richest,1. Faster than expected
2024-08-01,5,2,32646282.750976563,0.5923931109353111,Richest,2. At a typical pace
2024-08-01,5,3,4741823.587402344,0.08604421054227634,Richest,3. Slower than expected
2024-09-01,1,1,18011786.911865234,0.32611648228666623,Poorest,1. Faster than expected
2024-09-01,1,2,32787170.201660156,0.5936355267036826,Poorest,2. At a typical pace
2024-09-01,1,3,4432188.474609375,0.0802479910096512,Poorest,3. Slower than expected
2024-09-01,2,1,20482898.666015625,0.37239924874938507,2,1. Faster than expected
