mofd_label,totfoodinsec,weighted_count,percentage
2025m09,7,3412209.7397460938,1.1734243593001836
2025m09,8,1820988.94921875,0.6262196506093811
2025m10,0,194314321.60888672,66.59469324731268
2025m10,1,37152845.951049805,12.732887410917792
2025m10,2,16899594.655273438,5.7917672395609445
2025m10,3,16494346.172851563,5.652881962591275
2025m10,4,6193154.219238281,2.122495151405307
2025m10,5,9092559.081298828,3.1161685759371744
2025m10,6,2588870.5283203125,0.887248234010842
2025m10,7,3182102.130859375,1.0905583980203577
2025m10,8,5868701.142578125,2.011299780243629
