date,source_state,dest_state,weighted_count,n_households,percentage,indicator
2025-08-01,Not_worried,Not_worried,198554692.4296875,801,72.11535771292571,worried
2025-08-01,worried,worried,76774583.7836914,286,27.88464228707428,worried
2025-09-01,Not_worried,Not_worried,196638458.75976563,824,71.08634455229263,worried
2025-09-01,worried,worried,79980714.72314453,280,28.913655447707363,worried
2025-10-01,Not_worried,Not_worried,201110564.09472656,792,72.72768944486731,worried
2025-10-01,worried,worried,75414877.08154297,262,27.272310555132684,worried
2024-03-01,Not_unhealthy,Not_unhealthy,195611571.29205322,1304,72.48154354702643,unhealthy
2024-03-01,unhealthy,unhealthy,74266195.81860352,500,27.518456452973577,unhealthy
2024-04-01,Not_unhealthy,Not_unhealthy,204080494.55322266,967,73.79616145290223,unhealthy
2024-04-01,unhealthy,unhealthy,72465724.8371582,406,26.203838547097774,unhealthy
2024-05-01,Not_unhealthy,Not_unhealthy,207890612.2006836,1125,75.44390487267171,unhealthy
2024-05-01,unhealthy,unhealthy,67665925.53625488,471,24.556095127328287,unhealthy
2024-06-01,Not_unhealthy,Not_unhealthy,216013600.1435547,1026,78.21830126678422,unhealthy
2024-06-01,unhealthy,unhealthy,60153993.17553711,345,21.781698733215773,unhealthy
2024-07-01,Not_unhealthy,Not_unhealthy,219401877.79467773,1159,79.93261359873101,unhealthy
2024-07-01,unhealthy,unhealthy,55081675.1842041,334,20.06738640126899,unhealthy
2024-08-01,Not_unhealthy,Not_unhealthy,225898267.83764648,1059,81.87422703598726,unhealthy
2024-08-01,unhealthy,unhealthy,50010618.28637695,254,18.125772964012747,unhealthy
2024-09-01,Not_unhealthy,Not_unhealthy,230678976.04736328,1069,83.47233456001099,unhealthy
2024-09-01,unhealthy,unhealthy,45674832.98803711,251,16.527665439989015,unhealthy
2024-10-01,Not_unhealthy,Not_unhealthy,229734466.7849121,1034,83.65083187436106,unhealthy
2024-10-01,unhealthy,unhealthy,44900538.79394531,227,16.34916812563895,unhealthy
2024-11-01,Not_unhealthy,Not_unhealthy,224077509.5834961,969,81.09316546953616,unhealthy
2024-11-01,unhealthy,unhealthy,52243569.12402344,247,18.90683453046383,unhealthy
2024-12-01,Not_unhealthy,Not_unhealthy,231872412.57495117,1074,83.82408903494843,unhealthy
2024-12-01,unhealthy,unhealthy,44745460.931884766,252,16.175910965051575,unhealthy
2025-01-01,Not_unhealthy,Not_unhealthy,225016765.16357422,1163,81.39106401603581,unhealthy
2025-01-01,unhealthy,unhealthy,51446957.09375,257,18.60893598396418,unhealthy
2025-02-01,Not_unhealthy,Not_unhealthy,228570472.38671875,1094,82.61320359811074,unhealthy
2025-02-01,unhealthy,unhealthy,48105001.3046875,209,17.386796401889264,unhealthy
2025-03-01,Not_unhealthy,Not_unhealthy,239491514.8071289,947,86.72082996107643,unhealthy
2025-03-01,unhealthy,unhealthy,36672256.8203125,162,13.279170038923565,unhealthy
2025-04-01,Not_unhealthy,Not_unhealthy,236934575.24902344,993,85.66848671061635,unhealthy
2025-04-01,unhealthy,unhealthy,39636874.00439453,184,14.33151328938364,unhealthy
2025-05-01,Not_unhealthy,Not_unhealthy,237871677.7836914,968,86.02341674578058,unhealthy
2025-05-01,unhealthy,unhealthy,38648003.46386719,178,13.976583254219419,unhealthy
2025-06-01,Not_unhealthy,Not_unhealthy,240141889.75439453,918,86.96439007525903,unhealthy
2025-06-01,unhealthy,unhealthy,35996296.86035156,170,13.035609924740962,unhealthy
2025-07-01,Not_unhealthy,Not_unhealthy,234312470.71142578,951,84.6943921775256,unhealthy
2025-07-01,unhealthy,unhealthy,42343946.186035156,165,15.305607822474396,unhealthy
2025-08-01,Not_unhealthy,Not_unhealthy,229409341.79541016,918,83.32181195929887,unhealthy
2025-08-01,unhealthy,unhealthy,45919934.41796875,169,16.678188040701134,unhealthy
