date,region,mean_kg,mean_price,product
2025-01-01,Java,6.6533392911329585,144963.86578974905,rice
2025-01-01,Kalimantan,8.567371655831753,181587.17504151916,rice
2025-01-01,Maluku,4.079252993217322,149986.75603534316,rice
2025-01-01,Nusa Tenggara,9.772607600516638,211925.6731843605,rice
2025-01-01,Papua,6.468127740577562,276913.441390093,rice
2025-01-01,Sulawesi,7.018292032637424,196837.0182037982,rice
2025-01-01,Sumatra,6.577366538720903,137358.93485231913,rice
2025-02-01,Java,6.735805183005984,139387.86109620886,rice
2025-02-01,Kalimantan,4.62164305767483,162921.07391170767,rice
2025-02-01,Maluku,4.9548936354580055,187084.16184024984,rice
2025-02-01,Nusa Tenggara,9.29880431373215,196784.5554046289,rice
2025-02-01,Papua,8.465524268587057,460736.51829191536,rice
2025-02-01,Sulawesi,6.753736983229705,227190.1229781735,rice
2025-02-01,Sumatra,7.080363926584061,141257.01081115636,rice
2025-03-01,Java,7.2065918926332095,151817.020793459,rice
2025-03-01,Kalimantan,5.981661835735017,189979.85283455916,rice
2025-03-01,Maluku,4.3277108409443,152889.5144199046,rice
2025-03-01,Nusa Tenggara,9.785053120778775,203029.6127042305,rice
2025-03-01,Papua,7.667337385076742,234164.87399221188,rice
